"Authors","Year","Title","Journal","Doi","URL","Human","No.access","Lat_Deg","Lon_Deg","Location","country"
"Koc, A; Gullap, MK; Erkovan, HI",2013,"THE SOIL SEED BANK PATTERN IN HIGHLAND RANGELANDS OF EASTERN ANATOLIAN REGION OF TURKEY UNDER DIFFERENT GRAZING SYSTEMS","TURKISH JOURNAL OF FIELD CROPS","None","https://scholar.google.com/scholar?q=THE+SOIL+SEED+BANK+PATTERN+IN+HIGHLAND+RANGELANDS+OF+EASTERN+ANATOLIAN+REGION+OF+TURKEY+UNDER+DIFFERENT+GRAZING+SYSTEMS","AA","",40.36175,41.34783,"Erzurum province, Turkey","Turkey"
"de Camargos, VL; Martins, SV; Ribeiro, GA; Carmo, FMD; da Silva, AF",2013,"THE INFLUENCE OF FIRE ON THE SOIL SEED BANK IN SEMIDECIDUOUS FOREST","CIENCIA FLORESTAL","None","https://scholar.google.com/scholar?q=THE+INFLUENCE+OF+FIRE+ON+THE+SOIL+SEED+BANK+IN+SEMIDECIDUOUS+FOREST","AA","",-20.70833,-42.875,"Minas Gerais State, Brazil","Brazil"
"de Camargos, VL; Martins, SV; Ribeiro, GA; Carmo, FMD; da Silva, AF",2013,"THE INFLUENCE OF FIRE ON THE SOIL SEED BANK IN SEMIDECIDUOUS FOREST","CIENCIA FLORESTAL","None","https://scholar.google.com/scholar?q=THE+INFLUENCE+OF+FIRE+ON+THE+SOIL+SEED+BANK+IN+SEMIDECIDUOUS+FOREST","AA","",-20.70833,-42.875,"Minas Gerais State, Brazil","Brazil"
"Meave, JA; Flores-Rodriguez, C; Perez-Garcia, EA; Romero-Romero, MA",2012,"EDAPHIC AND SEASONAL HETEROGENEITY OF SEED BANKS IN AGRICULTURAL FIELDS OF A TROPICAL DRY FOREST REGION IN SOUTHERN MEXICO","BOTANICAL SCIENCES","None","https://scholar.google.com/scholar?q=EDAPHIC+AND+SEASONAL+HETEROGENEITY+OF+SEED+BANKS+IN+AGRICULTURAL+FIELDS+OF+A+TROPICAL+DRY+FOREST+REGION+IN+SOUTHERN+MEXICO","JP","",16.662,-95.0139,"Nizanda, Oaxaca, southern Mexico","Mexico"
"Surault, F; Veron, R; Julier, B; Huyghe, C",2012,"Changes in soil seed bank with a Tall fescue cover","FOURRAGES","None","https://scholar.google.com/scholar?q=Changes+in+soil+seed+bank+with+a+Tall+fescue+cover","JP","",46.4381,0.1044,"Lusignan, France","France"
"Overdyck, E; Clarkson, BD",2012,"Seed rain and soil seed banks limit native regeneration within urban forest restoration plantings in Hamilton City, New Zealand","NEW ZEALAND JOURNAL OF ECOLOGY","None","https://scholar.google.com/scholar?q=Seed+rain+and+soil+seed+banks+limit+native+regeneration+within+urban+forest+restoration+plantings+in+Hamilton+City,+New+Zealand","JP","",-37.6814,175.1202,"Ngaruawahia, Hamilton city, New Zealand","New Zealand"
"Overdyck, E; Clarkson, BD",2012,"Seed rain and soil seed banks limit native regeneration within urban forest restoration plantings in Hamilton City, New Zealand","NEW ZEALAND JOURNAL OF ECOLOGY","None","https://scholar.google.com/scholar?q=Seed+rain+and+soil+seed+banks+limit+native+regeneration+within+urban+forest+restoration+plantings+in+Hamilton+City,+New+Zealand","JP","",-37.7753,175.2697,"Hamilton city, New Zealand","New Zealand"
"Mukhongo, JN; Kinyamario, JI; Chira, RM; Musila, W",2011,"Assessment of soil seed bank from six different vegetation types in Kakamega forest, Western Kenya","AFRICAN JOURNAL OF BIOTECHNOLOGY","None","https://scholar.google.com/scholar?q=Assessment+of+soil+seed+bank+from+six+different+vegetation+types+in+Kakamega+forest,+Western+Kenya","JP","",0.2905,34.8894,"Kakamega Forest, Kenya","Kenya"
"Mukhongo, JN; Kinyamario, JI; Chira, RM; Musila, W",2011,"Assessment of soil seed bank from six different vegetation types in Kakamega forest, Western Kenya","AFRICAN JOURNAL OF BIOTECHNOLOGY","None","https://scholar.google.com/scholar?q=Assessment+of+soil+seed+bank+from+six+different+vegetation+types+in+Kakamega+forest,+Western+Kenya","JP","",0.2905,34.8894,"Kakamega Forest, Kenya","Kenya"
"Mukhongo, JN; Kinyamario, JI; Chira, RM; Musila, W",2011,"Assessment of soil seed bank from six different vegetation types in Kakamega forest, Western Kenya","AFRICAN JOURNAL OF BIOTECHNOLOGY","None","https://scholar.google.com/scholar?q=Assessment+of+soil+seed+bank+from+six+different+vegetation+types+in+Kakamega+forest,+Western+Kenya","JP","",0.2905,34.8894,"Kakamega Forest, Kenya","Kenya"
